path	node	rank
Archaea;Euryarchaeota;Methanopyri;Methanopyrales;Methanopyraceae;	Methanopyraceae	family
Archaea;Euryarchaeota;Methanopyri;Methanopyrales;Methanopyraceae;Methanopyrus;	Methanopyrus	genus
Archaea;Euryarchaeota;Thermococci;	Thermococci	class
Archaea;Euryarchaeota;Thermococci;Thermococcales;	Thermococcales	order
Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;	Thermococcaceae	family
Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Palaeococcus;	Palaeococcus	genus
Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Pyrococcus;	Pyrococcus	genus
Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Thermococcus;	Thermococcus	genus
Archaea;Euryarchaeota;Thermoplasmata;	Thermoplasmata	class
Archaea;Euryarchaeota;Thermoplasmata;014H09-A-SD-P15;	014H09-A-SD-P15	order
Archaea;Euryarchaeota;Thermoplasmata;059A02-A-SD-P93;	059A02-A-SD-P93	order
Archaea;Euryarchaeota;Thermoplasmata;19c-33;	19c-33	order
Archaea;Euryarchaeota;Thermoplasmata;20a-9;	20a-9	order
Archaea;Euryarchaeota;Thermoplasmata;Fe-A-9;	Fe-A-9	order
Archaea;Euryarchaeota;Thermoplasmata;Kazan-3A-21;	Kazan-3A-21	order
Archaea;Euryarchaeota;Thermoplasmata;Marine Benthic Group E;	Marine Benthic Group E	order
Archaea;Euryarchaeota;Thermoplasmata;MSBL1;	MSBL1	order
Archaea;Euryarchaeota;Thermoplasmata;South African Goldmine Gp(SAGMEG);	South African Goldmine Gp(SAGMEG)	order
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;	Thermoplasmatales	order
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;20c-4;	20c-4	family
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;2B5;	2B5	family
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;4559-3-R1-4;	4559-3-R1-4	family
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;A10;	A10	family
